"Data Provider","The Paleobiology Database"
"Data Source","The Paleobiology Database"
"Data License","Creative Commons CC-BY"
"License URL","http://creativecommons.org/licenses/by/4.0/"
"Documentation URL","http://paleobiodb.org/data1.2/occs/list_doc.html"
"Data URL","http://paleobiodb.org/data1.2/occs/list.csv?datainfo&rowcount&base_name=Mammalia&taxon_reso=species&interval=Paleogene,Quaternary&cc=EUR&show=class,timebins,acconly"
"Access Time","Thu 2021-07-01 18:01:05 GMT"
"Title","PBDB Data Service"
"Parameters:"
"","base_name","Mammalia"
"","idreso","species"
"","cc","EUR"
"","interval","Paleogene,Quaternary"
"","timerule","major"
"","taxon_status","all"
"","show","class,timebins,acconly"
"Elapsed Time","2.17"
"Records Found","12426"
"Records Returned","12426"
"Records:"
"occurrence_no","record_type","reid_no","flags","collection_no","accepted_name","accepted_rank","accepted_no","early_interval","late_interval","max_ma","min_ma","reference_no","phylum","class","order","family","genus","time_bins"
"332805","occ","","","31316","Brachypotherium brachypus","species","64183","Langhian","","15.97","13.82","8464","Chordata","Mammalia","Perissodactyla","Rhinocerotidae","Brachypotherium","Langhian"
"332807","occ","","","31316","Prodeinotherium bavaricum","species","96590","Langhian","","15.97","13.82","8464","Chordata","Mammalia","Proboscidea","Deinotheriidae","Prodeinotherium","Langhian"
"332828","occ","","","31326","Proscapanus sansaniensis","species","64156","Langhian","","15.97","13.82","8464","Chordata","Mammalia","NO_ORDER_SPECIFIED","Talpidae","Proscapanus","Langhian"
"332829","occ","","","31326","Steneofiber depereti","species","64174","Langhian","","15.97","13.82","8464","Chordata","Mammalia","Rodentia","Castoridae","Steneofiber","Langhian"
"332830","occ","","","31326","Prolagus oeningensis","species","104403","Langhian","","15.97","13.82","8464","Chordata","Mammalia","Lagomorpha","Ochotonidae","Prolagus","Langhian"
"332840","occ","","","31326","Lagopsis verus","species","57000","Langhian","","15.97","13.82","8464","Chordata","Mammalia","Lagomorpha","Ochotonidae","Lagopsis","Langhian"
"332841","occ","","","31326","Pseudocyon sansaniensis","species","97846","Langhian","","15.97","13.82","8464","Chordata","Mammalia","Carnivora","Amphicyonidae","Pseudocyon","Langhian"
"332845","occ","","","31326","Dorcatherium naui","species","64179","Langhian","","15.97","13.82","8464","Chordata","Mammalia","Artiodactyla","Tragulidae","Dorcatherium","Langhian"
"332850","occ","","","31326","Anchitherium aurelianense","species","56992","Langhian","","15.97","13.82","8464","Chordata","Mammalia","Perissodactyla","Equidae","Anchitherium","Langhian"
"332852","occ","","","31326","Brachypotherium brachypus","species","64183","Langhian","","15.97","13.82","8464","Chordata","Mammalia","Perissodactyla","Rhinocerotidae","Brachypotherium","Langhian"
"336580","occ","","","31582","Catodontherium argentonicum","species","347766","Lutetian","","47.8","41.3","8517","Chordata","Mammalia","Artiodactyla","Anoplotheriidae","Catodontherium","Lutetian"
"336582","occ","","","31583","Dichobune leporina","species","347535","Early Oligocene","","33.9","28.4","8517","Chordata","Mammalia","Artiodactyla","Dichobunidae","Dichobune","Rupelian"
"336588","occ","","","31583","Gelocus communis","species","349727","Early Oligocene","","33.9","28.4","11574","Chordata","Mammalia","Artiodactyla","Gelocidae","Gelocus","Rupelian"
"336589","occ","","","12848","Pseudoloris parvulus","species","67466","Priabonian","","38","33.9","8517","Chordata","Mammalia","Primates","Omomyidae","Pseudoloris","Priabonian"
"336590","occ","","","12848","Leptadapis magnus","species","127246","Priabonian","","38","33.9","11573","Chordata","Mammalia","Primates","Adapidae","Leptadapis","Priabonian"
"336592","occ","","","12848","Necrolemur antiquus","species","347334","Priabonian","","38","33.9","11573","Chordata","Mammalia","Primates","Omomyidae","Necrolemur","Priabonian"
"336593","occ","","","12848","Mouillacitherium elegans","species","67467","Priabonian","","38","33.9","8517","Chordata","Mammalia","Artiodactyla","Dichobunidae","Mouillacitherium","Priabonian"
"336594","occ","","","12848","Gervachoerus minor","species","347615","Priabonian","","38","33.9","8517","Chordata","Mammalia","Artiodactyla","Cebochoeridae","Gervachoerus","Priabonian"
"336595","occ","","","12848","Leptotheridium lugeoni","species","347303","Priabonian","","38","33.9","8517","Chordata","Mammalia","Artiodactyla","Xiphodontidae","Leptotheridium","Priabonian"
"336597","occ","","","12848","Haplomeryx euzetensis","species","347308","Priabonian","","38","33.9","8517","Chordata","Mammalia","Artiodactyla","Xiphodontidae","Haplomeryx","Priabonian"
