"Data Provider","The Paleobiology Database"
"Data Source","The Paleobiology Database"
"Data License","Creative Commons CC-BY"
"License URL","http://creativecommons.org/licenses/by/4.0/"
"Documentation URL","http://paleobiodb.org/data1.2/occs/list_doc.html"
"Data URL","http://paleobiodb.org/data1.2/occs/list.csv?datainfo&rowcount&base_name=Mammalia&taxon_reso=genus&idqual=certain&interval=Paleocene,Holocene&cc=ASI&show=timebins,acconly"
"Access Time","Wed 2020-06-24 05:07:43 GMT"
"Title","PBDB Data Service"
"Parameters:"
"","base_name","Mammalia"
"","idreso","genus"
"","idqual","certain"
"","cc","ASI"
"","interval","Paleocene,Holocene"
"","timerule","major"
"","taxon_status","all"
"","show","timebins,acconly"
"Elapsed Time","2.34"
"Records Found","7890"
"Records Returned","7890"
"Records:"
"occurrence_no","record_type","reid_no","flags","collection_no","accepted_name","accepted_rank","accepted_no","early_interval","late_interval","max_ma","min_ma","reference_no","time_bins"
"150152","occ","","","13303","Raoella dograi","species","69785","Middle Eocene","Late Eocene","48.6","33.9","4421","-"
"150153","occ","","","13303","Kunmunella rajauriensis","species","86794","Middle Eocene","Late Eocene","48.6","33.9","4421","-"
"150154","occ","","","13304","Caprolagus","genus","42170","Late Pliocene","Middle Pleistocene","3.6","0.126","4422","-"
"150826","occ","","","11596","Basilosaurus drazindai","species","53163","Bartonian","","41.3","38","6010","Bartonian"
"150872","occ","13183","","13449","Metaxytherium","genus","36890","Miocene","","23.03","5.333","13722","-"
"150874","occ","","","13448","Stegodon","genus","43271","Late Pliocene","","3.6","2.588","6061","Piacenzian"
"150887","occ","","","13452","Dorcabune","genus","42599","Miocene","","23.03","5.333","6074","-"
"150888","occ","","","13453","Elephas maximus","species","104147","Early Pleistocene","","2.588","0.781","6075","Calabrian"
"150889","occ","","","13454","Stegolophodon","genus","43272","Early Miocene","","23.03","15.97","6076","Burdigalian"
"150890","occ","","","13456","Elephas","genus","43264","Late Pleistocene","Holocene","0.126","0","6077","Late Pleistocene"
"150893","occ","","","13456","Hystrix","genus","42010","Late Pleistocene","Holocene","0.126","0","6077","Late Pleistocene"
"150894","occ","","","13456","Bos","genus","42753","Late Pleistocene","Holocene","0.126","0","6077","Late Pleistocene"
"150895","occ","","","13456","Bubalus palaeindicus","species","162370","Late Pleistocene","Holocene","0.126","0","6077","Late Pleistocene"
"150896","occ","","","13456","Boselaphus","genus","42754","Late Pleistocene","Holocene","0.126","0","6077","Late Pleistocene"
"150897","occ","","","13456","Gazella","genus","42774","Late Pleistocene","Holocene","0.126","0","6077","Late Pleistocene"
"150898","occ","","","13456","Cervus","genus","42666","Late Pleistocene","Holocene","0.126","0","6077","Late Pleistocene"
"150900","occ","","","13456","Sus","genus","42416","Late Pleistocene","Holocene","0.126","0","6077","Late Pleistocene"
"150903","occ","","","13455","Equus","genus","42996","Late Pleistocene","","0.126","0.0117","6077","Late Pleistocene"
"150904","occ","","","13457","Equus","genus","42996","Pleistocene","Late Pleistocene","2.588","0.0117","6078","-"
"150905","occ","","","13458","Equus","genus","42996","Late Pleistocene","","0.126","0.0117","6078","Late Pleistocene"
"150906","occ","","","13459","Equus","genus","42996","Late Pleistocene","","0.126","0.0117","6078","Late Pleistocene"
"150907","occ","","","13460","Equus","genus","42996","Late Pleistocene","","0.126","0.0117","6078","Late Pleistocene"
"150908","occ","","","13461","Equus (Hemionus) hemionus","species","46275","Late Pleistocene","","0.126","0.0117","6078","Late Pleistocene"
"150909","occ","","","13462","Equus (Hemionus) hemionus","species","46275","Late Pleistocene","","0.126","0.0117","6078","Late Pleistocene"
"150910","occ","","","13464","Equus (Hemionus) hemionus","species","46275","Late Pleistocene","","0.126","0.0117","6078","Late Pleistocene"
"150911","occ","","","13465","Equus (Hemionus) hemionus","species","46275","Late Pleistocene","","0.126","0.0117","6078","Late Pleistocene"
"150912","occ","","","13463","Equus (Hemionus) hemionus","species","46275","Late Pleistocene","","0.126","0.0117","6078","Late Pleistocene"
"150913","occ","","","13466","Equus (Hemionus) hemionus","species","46275","Late Pleistocene","","0.126","0.0117","6078","Late Pleistocene"
"150914","occ","","","13467","Equus (Hemionus) hemionus","species","46275","Late Pleistocene","","0.126","0.0117","6078","Late Pleistocene"
