"Data Provider","The Paleobiology Database"
"Data Source","The Paleobiology Database"
"Data License","Creative Commons CC-BY"
"License URL","http://creativecommons.org/licenses/by/4.0/"
"Documentation URL","http://paleobiodb.org/data1.2/occs/list_doc.html"
"Data URL","http://paleobiodb.org/data1.2/occs/list.csv?datainfo&rowcount&base_name=Mammalia&taxon_reso=genus&idqual=certain&interval=Paleocene,Holocene&cc=EUR&show=timebins,acconly"
"Access Time","Wed 2020-06-24 05:07:08 GMT"
"Title","PBDB Data Service"
"Parameters:"
"","base_name","Mammalia"
"","idreso","genus"
"","idqual","certain"
"","cc","EUR"
"","interval","Paleocene,Holocene"
"","timerule","major"
"","taxon_status","all"
"","show","timebins,acconly"
"Elapsed Time","2.63"
"Records Found","17723"
"Records Returned","17723"
"Records:"
"occurrence_no","record_type","reid_no","flags","collection_no","accepted_name","accepted_rank","accepted_no","early_interval","late_interval","max_ma","min_ma","reference_no","time_bins"
"336672","occ","","","31608","Dichodon","genus","42565","Priabonian","","38","33.9","8517","Priabonian"
"336673","occ","","","31609","Phenacolemur","genus","40318","Lutetian","","47.8","41.3","8517","Lutetian"
"336675","occ","","","31609","Protoadapis","genus","40769","Lutetian","","47.8","41.3","8517","Lutetian"
"336676","occ","","","31609","Periconodon huerzeleri","species","135240","Lutetian","","47.8","41.3","8517","Lutetian"
"336678","occ","","","31609","Buxobune daubreei","species","347571","Lutetian","","47.8","41.3","8517","Lutetian"
"336679","occ","","","31609","Meniscodon europaeum","species","347570","Lutetian","","47.8","41.3","8517","Lutetian"
"336680","occ","","","31609","Hyperdichobune hammeli","species","53723","Lutetian","","47.8","41.3","8517","Lutetian"
"336681","occ","","","31609","Gervachoerus dawsoni","species","347708","Lutetian","","47.8","41.3","8517","Lutetian"
"336682","occ","","","31609","Gervachoerus jaegeri","species","135295","Lutetian","","47.8","41.3","8517","Lutetian"
"336683","occ","","","31609","Catodontherium","genus","67501","Lutetian","","47.8","41.3","8517","Lutetian"
"336689","occ","","","31633","Leptadapis (Paradapis) priscus","species","145143","Bartonian","","41.3","38","13338","Bartonian"
"336690","occ","","","31633","Pseudoloris","genus","40821","Bartonian","","41.3","38","8517","Bartonian"
"336691","occ","","","31633","Cebochoerus","genus","42361","Bartonian","","41.3","38","8517","Bartonian"
"336693","occ","","","31634","Adapis parisiensis","species","57922","Bartonian","","41.3","38","8517","Bartonian"
