"Data Provider","The Paleobiology Database"
"Data Source","The Paleobiology Database"
"Data License","Creative Commons CC-BY"
"License URL","http://creativecommons.org/licenses/by/4.0/"
"Documentation URL","http://paleobiodb.org/data1.2/occs/list_doc.html"
"Data URL","http://paleobiodb.org/data1.2/occs/list.csv?datainfo&rowcount&base_name=Mammalia&taxon_reso=species&interval=Paleocene,Holocene&cc=SOA&show=timebins,acconly"
"Access Time","Sun 2020-04-12 23:31:27 GMT"
"Title","PBDB Data Service"
"Parameters:"
"","base_name","Mammalia"
"","idreso","species"
"","cc","SOA"
"","interval","Paleocene,Holocene"
"","timerule","major"
"","taxon_status","all"
"","show","timebins,acconly"
"Elapsed Time","1.7"
"Records Found","5201"
"Records Returned","5201"
"Records:"
"occurrence_no","record_type","reid_no","flags","collection_no","accepted_name","accepted_rank","accepted_no","early_interval","late_interval","max_ma","min_ma","reference_no","time_bins"
"399913","occ","34916","","38072","Eomorphippus neilopdykei","species","373259","Early Oligocene","","33.9","28.4","66246","Rupelian"
"399916","occ","32152","","38072","Klohnia charrieri","species","337116","Early Oligocene","","33.9","28.4","44861","Rupelian"
"399918","occ","33533","","38072","Pseudoglyptodon chilensis","species","356405","Early Oligocene","","33.9","28.4","62631","Rupelian"
"399920","occ","10579","","38072","Santiagorothia chiliensis","species","57071","Early Oligocene","","33.9","28.4","10307","Rupelian"
"399921","occ","10593","","38072","Protarchaeohyrax intermedium","species","57245","Early Oligocene","","33.9","28.4","10308","Rupelian"
"399994","occ","32153","","38072","Pascualdelphys fierroensis","species","337117","Early Oligocene","","33.9","28.4","44861","Rupelian"
"400008","occ","","","38072","Trigonolophodon elegans","species","57079","Early Oligocene","","33.9","28.4","10302","Rupelian"
"400009","occ","34915","","38072","Eomorphippus bondi","species","373258","Early Oligocene","","33.9","28.4","66246","Rupelian"
"400010","occ","","","38072","Rosendo pascuali","species","58197","Early Oligocene","","33.9","28.4","10302","Rupelian"
"400012","occ","32114","","38072","Andemys termasi","species","336970","Early Oligocene","","33.9","28.4","58219","Rupelian"
"400014","occ","10631","","38072","Archaeotypotherium tinguiriricaense","species","57375","Early Oligocene","","33.9","28.4","10497","Rupelian"
"400015","occ","10632","","38072","Pseudhyrax eutrachytheroides","species","57061","Early Oligocene","","33.9","28.4","10497","Rupelian"
"400017","occ","10634","","38072","Archaeotypotherium pattersoni","species","57374","Early Oligocene","","33.9","28.4","10497","Rupelian"
"400610","occ","10629","","38072","Pseudhyrax strangulatus","species","57062","Early Oligocene","","33.9","28.4","10497","Rupelian"
"402449","occ","","","38611","Santiagorothia chiliensis","species","57071","Early Oligocene","","33.9","28.4","10307","Rupelian"
"402840","occ","","","38650","Santiagorothia chiliensis","species","57071","Early Oligocene","","33.9","28.4","10307","Rupelian"
"402843","occ","","","38651","Santiagorothia chiliensis","species","57071","Early Oligocene","","33.9","28.4","10307","Rupelian"
"402846","occ","","","38652","Santiagorothia chiliensis","species","57071","Early Oligocene","","33.9","28.4","10307","Rupelian"
"402851","occ","","","38650","Proargyrohyrax curanderensis","species","57216","Early Oligocene","","33.9","28.4","10307","Rupelian"
"402852","occ","","","38651","Eopachyrucos pliciferus","species","57218","Early Oligocene","","33.9","28.4","10307","Rupelian"
