"Data Provider","The Paleobiology Database"
"Data Source","The Paleobiology Database"
"Data License","Creative Commons CC-BY"
"License URL","http://creativecommons.org/licenses/by/4.0/"
"Documentation URL","http://paleobiodb.org/data1.2/occs/list_doc.html"
"Data URL","http://paleobiodb.org/data1.2/occs/list.csv?datainfo&rowcount&base_name=Mammalia&taxon_reso=genus&idqual=certain&interval=Paleocene,Holocene&cc=AFR&show=timebins,acconly"
"Access Time","Wed 2020-06-24 05:09:02 GMT"
"Title","PBDB Data Service"
"Parameters:"
"","base_name","Mammalia"
"","idreso","genus"
"","idqual","certain"
"","cc","AFR"
"","interval","Paleocene,Holocene"
"","timerule","major"
"","taxon_status","all"
"","show","timebins,acconly"
"Elapsed Time","2.39"
"Records Found","10039"
"Records Returned","10039"
"Records:"
"occurrence_no","record_type","reid_no","flags","collection_no","accepted_name","accepted_rank","accepted_no","early_interval","late_interval","max_ma","min_ma","reference_no","time_bins"
"212128","occ","","","21332","Ceratotherium","genus","43195","Messinian","Piacenzian","7.246","2.588","4648","-"
"212129","occ","","","21332","Hippotherium primigenium","species","124105","Messinian","Piacenzian","7.246","2.588","4648","-"
"212137","occ","","","21332","Deinotherium","genus","43280","Messinian","Piacenzian","7.246","2.588","4648","-"
"212139","occ","","","21332","Eurygnathohippus turkanense","species","133126","Messinian","Piacenzian","7.246","2.588","4648","-"
"212142","occ","","","21332","Hipparion","genus","43000","Messinian","Piacenzian","7.246","2.588","4648","-"
"212143","occ","","","21332","Brachypotherium","genus","43194","Messinian","Piacenzian","7.246","2.588","4648","-"
"212147","occ","","","21332","Hexaprotodon","genus","42480","Messinian","Piacenzian","7.246","2.588","4648","-"
"212148","occ","","","21332","Hexaprotodon","genus","42480","Messinian","Piacenzian","7.246","2.588","4648","-"
"212151","occ","","","21332","Tragelaphus","genus","42885","Messinian","Piacenzian","7.246","2.588","4648","-"
"212152","occ","","","21332","Tragelaphus","genus","42885","Messinian","Piacenzian","7.246","2.588","4648","-"
"212153","occ","","","21332","Gazella","genus","42774","Messinian","Piacenzian","7.246","2.588","4648","-"
"212154","occ","","","21332","Gazella","genus","42774","Messinian","Piacenzian","7.246","2.588","4648","-"
"212155","occ","","","21332","Antilope","genus","42746","Messinian","Piacenzian","7.246","2.588","4648","-"
"212174","occ","","","21334","Loxodonta","genus","43265","Piacenzian","","3.6","2.588","4648","Piacenzian"
"212175","occ","","","21334","Theropithecus","genus","40879","Piacenzian","","3.6","2.588","4648","Piacenzian"
"212182","occ","","","21334","Hipparion","genus","43000","Piacenzian","","3.6","2.588","4648","Piacenzian"
"212183","occ","","","21334","Nyanzachoerus","genus","42403","Piacenzian","","3.6","2.588","4648","Piacenzian"
"212185","occ","","","21334","Tragelaphus","genus","42885","Piacenzian","","3.6","2.588","4648","Piacenzian"
"212186","occ","","","21335","Elephas","genus","43264","Zanclean","","5.333","3.6","4648","Zanclean"
