"Data Provider","The Paleobiology Database"
"Data Source","The Paleobiology Database"
"Data License","Creative Commons CC-BY"
"License URL","http://creativecommons.org/licenses/by/4.0/"
"Documentation URL","http://paleobiodb.org/data1.2/occs/list_doc.html"
"Data URL","http://paleobiodb.org/data1.2/occs/list.csv?datainfo&rowcount&base_name=Mammalia&taxon_reso=lump_genus&idqual=genus_certain&interval=Paleocene,Holocene&cc=SOA&show=acconly"
"Access Time","Sat 2020-04-11 01:09:45 GMT"
"Title","PBDB Data Service"
"Parameters:"
"","base_name","Mammalia"
"","idreso","lump_genus"
"","idqual","genus_certain"
"","cc","SOA"
"","interval","Paleocene,Holocene"
"","timerule","major"
"","taxon_status","all"
"","show","acconly"
"Elapsed Time","1.02"
"Records Found","6462"
"Records Returned","6462"
"Records:"
"occurrence_no","record_type","reid_no","flags","collection_no","accepted_name","accepted_rank","accepted_no","early_interval","late_interval","max_ma","min_ma","reference_no"
"213083","occ","","","21689","Cyclopes","genus","83037","Holocene","","0.0117","0","4790"
"213084","occ","","","21689","Priodontes","genus","159119","Holocene","","0.0117","0","4790"
"213087","occ","","","21689","Tayassu","genus","42440","Holocene","","0.0117","0","4790"
"213088","occ","","","21689","Mazama","genus","47951","Holocene","","0.0117","0","4790"
"213089","occ","","","21689","Cervus","genus","42666","Holocene","","0.0117","0","4790"
"213090","occ","","F","21689","Micoureus","genus","39972","Holocene","","0.0117","0","4790"
"213091","occ","","","21689","Marmosops","genus","234023","Holocene","","0.0117","0","4790"
"213092","occ","","","21689","Caluromysiops","genus","234029","Holocene","","0.0117","0","4790"
"213093","occ","","","21689","Bradypus","genus","72263","Holocene","","0.0117","0","4790"
"213096","occ","","","21689","Rhipidomys","genus","100635","Holocene","","0.0117","0","4790"
"213098","occ","","","21689","Procyon","genus","41262","Holocene","","0.0117","0","4790"
"213099","occ","","","21689","Cebuella","genus","159123","Holocene","","0.0117","0","4790"
"213100","occ","","","21689","Dinomys","genus","100797","Holocene","","0.0117","0","4790"
"213102","occ","","","21689","Panthera","genus","41066","Holocene","","0.0117","0","4790"
"219906","occ","28233","","22633","Notiomastodon","genus","43250","Pleistocene","","2.588","0.0117","45412"
"220253","occ","","","22734","Dasypus","genus","43535","Pleistocene","","2.588","0.0117","5716"
"220254","occ","","","22734","Cuvieronius","genus","43244","Pleistocene","","2.588","0.0117","5716"
"229395","occ","","","21686","Didelphis","genus","39959","Holocene","","0.0117","0","4785"
"229396","occ","","","21686","Marmosa","genus","39970","Holocene","","0.0117","0","4785"
"229397","occ","","","21686","Dasypus","genus","43535","Holocene","","0.0117","0","4785"
"229398","occ","","","21686","Tamandua","genus","83035","Holocene","","0.0117","0","4785"
"229399","occ","","","21686","Myrmecophaga","genus","43654","Holocene","","0.0117","0","4785"
"230134","occ","","","23371","Eomorphippus","genus","43381","Mustersan","","48","42","6702"
"292995","occ","","","27906","Groeberia","genus","40080","Middle Eocene","","48.6","37.2","7651"
"295233","occ","","","27905","Typotherium","genus","240033","Ensenadan","","1.2","0.781","7716"
"297497","occ","","","28513","Hippidion","genus","43001","Pleistocene","","2.588","0.0117","6187"
"297498","occ","","","28513","Glyptodon","genus","43576","Pleistocene","","2.588","0.0117","6187"
"297499","occ","","","28513","Panochthus","genus","43587","Pleistocene","","2.588","0.0117","6187"
"297519","occ","","","28519","Toxodon","genus","43405","Pleistocene","","2.588","0.0117","6187"
"297520","occ","","","28519","Lestodon","genus","43635","Pleistocene","","2.588","0.0117","6187"
"297521","occ","","","28519","Megatherium","genus","43616","Pleistocene","","2.588","0.0117","6187"
"297522","occ","","","28519","Glyptodon","genus","43576","Pleistocene","","2.588","0.0117","6187"
"297580","occ","","","12972","Neoglyptatelus","genus","188863","Miocene","","23.03","5.333","6139"
"297581","occ","","","12972","Nanoastegotherium","genus","279972","Miocene","","23.03","5.333","6139"
"297582","occ","","","12975","Anadasypus","genus","279970","Miocene","","23.03","5.333","6139"
"297605","occ","","","23371","Eohyrax","genus","43437","Mustersan","","48","42","6702"
"297608","occ","","","23371","Propyrotherium","genus","43519","Mustersan","","48","42","6702"
"394950","occ","","","36611","Mesotherium","genus","43426","Ensenadan","","1.2","0.781","9817"
