"Data Provider","The Paleobiology Database"
"Data Source","The Paleobiology Database"
"Data License","Creative Commons CC-BY"
"License URL","http://creativecommons.org/licenses/by/4.0/"
"Documentation URL","http://paleobiodb.org/data1.2/occs/list_doc.html"
"Data URL","http://paleobiodb.org/data1.2/occs/list.csv?datainfo&rowcount&base_name=Mammalia&taxon_reso=species&interval=Paleogene,Quaternary&cc=ASI&show=class"
"Access Time","Fri 2021-07-02 05:12:54 GMT"
"Title","PBDB Data Service"
"Parameters:"
"","base_name","Mammalia"
"","idreso","species"
"","cc","ASI"
"","interval","Paleogene,Quaternary"
"","timerule","major"
"","taxon_status","all"
"","show","class"
"Elapsed Time","1.87"
"Records Found","5284"
"Records Returned","5284"
"Records:"
"occurrence_no","record_type","reid_no","flags","collection_no","identified_name","identified_rank","identified_no","difference","accepted_name","accepted_rank","accepted_no","early_interval","late_interval","max_ma","min_ma","reference_no","phylum","class","order","family","genus"
"150955","occ","","","13473","Sivanasua himalayensis","species","101101","recombined as","Indraloris himalayensis","species","101101","Late Miocene","","11.608","5.333","6080","Chordata","Mammalia","Primates","Sivaladapidae","Indraloris"
"150962","occ","","","13473","Orycteropus browni","species","166389","","Orycteropus browni","species","166389","Late Miocene","","11.608","5.333","6080","Chordata","Mammalia","Tubulidentata","Orycteropodidae","Orycteropus"
"150963","occ","","","13473","Orycteropus pilgrimi","species","166390","","Orycteropus pilgrimi","species","166390","Late Miocene","","11.608","5.333","6080","Chordata","Mammalia","Tubulidentata","Orycteropodidae","Orycteropus"
"150971","occ","","","13473","Caementodon oettingenae","species","97732","recombined as","Caementodon (Caementodon) oettingenae","species","97732","Late Miocene","","11.608","5.333","6080","Chordata","Mammalia","Perissodactyla","Rhinocerotidae","Caementodon (Caementodon)"
"150972","occ","","","13473","Chilotherium intermedium","species","433297","","Chilotherium intermedium","species","433297","Late Miocene","","11.608","5.333","6080","Chordata","Mammalia","Perissodactyla","Rhinocerotidae","Chilotherium"
"150973","occ","","","13473","Aprotodon fatehjangense","species","432667","","Aprotodon fatehjangense","species","432666","Late Miocene","","11.608","5.333","6080","Chordata","Mammalia","Perissodactyla","Rhinocerotidae","Aprotodon"
"150976","occ","","","13473","Conohyus sindiense","species","105501","misspelling of, recombined as","Conohyus sindiensis","species","105496","Late Miocene","","11.608","5.333","6080","Chordata","Mammalia","Artiodactyla","Suidae","Conohyus"
"150977","occ","","","13473","Conohyus indicus","species","105493","","Conohyus indicus","species","105492","Late Miocene","","11.608","5.333","6080","Chordata","Mammalia","Artiodactyla","Suidae","Conohyus"
"150986","occ","","","13473","Hippohyus deterrai","species","308230","","Hippohyus deterrai","species","308230","Late Miocene","","11.608","5.333","6080","Chordata","Mammalia","Artiodactyla","Suidae","Hippohyus"
"150990","occ","","","13473","Merycopotamus dissimilis","species","430608","","Merycopotamus dissimilis","species","430608","Late Miocene","","11.608","5.333","6080","Chordata","Mammalia","Artiodactyla","Anthracotheriidae","Merycopotamus"
